Activity Year,Respondent ID,Agency Code,Parent Respondent ID,Parent Name (Panel),Parent City (Panel),Parent State (Panel),Region,Assets,Other Lender Code,Respondent Name (Panel),Respondent City (Panel),Respondent State (Panel),Top Holder RSSD ID,Top Holder Name,Top Holder City,Top Holder State,Top Holder Country,Respondent RSSD ID,Parent RSSD ID,Respondent FIPS State Number
2015,0000007506,3,          ,                              ,                         ,  ,02,0001076784,0,ACNB BK                                                               ,GETTYSBURG               ,PA                    ,0001117464,ACNB CORP                     ,GETTYSBURG               ,PA,UNITED STATES                           ,0000005210,0000000000,42
2015,0000007514,3,          ,                              ,                         ,  ,02,0001735562,0,PEOPLES SCTY B&TC                                                     ,SCRANTON                 ,PA                    ,0001139541,PEOPLES FS CORP               ,SCRANTON                 ,PA,UNITED STATES                           ,0000278818,0000000000,42
2015,0000007586,3,          ,                              ,                         ,  ,02,0000344223,0,LUZERNE BK                                                            ,LUZERNE                  ,PA                    ,0001117688,PENNS WOODS BC                ,WILLIAMSPORT             ,PA,UNITED STATES                           ,0000501815,0000000000,42
2015,0000007598,3,          ,                              ,                         ,  ,02,0000436057,0,RIVERVIEW BK                                                          ,MARYSVILLE               ,PA                    ,0002727495,RIVERVIEW FC                  ,HARRISBURG               ,PA,UNITED STATES                           ,0000757612,0000000000,42
2015,0000007609,3,          ,                              ,                         ,  ,02,0000167776,0,FIRST CMNTY BK OF MERCERSBURG                                         ,MERCERSBURG              ,PA                    ,0001143427,MERCERSBURG FNCL CORP         ,MERCERSBURG              ,PA,UNITED STATES                           ,0000767817,0000000000,42
2015,0000007614,3,          ,                              ,                         ,  ,02,0000475242,0,JUNIATA VALLEY BK                                                     ,MIFFLINTOWN              ,PA                    ,0001117512,JUNIATA VALLEY FNCL CORP      ,MIFFLINTOWN              ,PA,UNITED STATES                           ,0000215710,0000000000,42
2015,0000007631,3,          ,                              ,                         ,  ,02,0000123958,0,UNB BK                                                                ,MOUNT CARMEL             ,PA                    ,0001249945,UNB CORP                      ,MOUNT CARMEL             ,PA,UNITED STATES                           ,0000249416,0000000000,42
2015,0000007714,3,          ,                              ,                         ,  ,02,0000969887,0,QNB BK                                                                ,QUAKERTOWN               ,PA                    ,0001118434,QNB CORP                      ,QUAKERTOWN               ,PA,UNITED STATES                           ,0000852713,0000000000,42
2015,0000007748,3,          ,                              ,                         ,  ,02,0001333494,0,VIST BK                                                               ,WYOMISSING               ,PA                    ,0002367921,TOMPKINS FNCL CORP            ,ITHACA                   ,NY,UNITED STATES                           ,0000678717,0000000000,42
2015,0000007799,3,          ,                              ,                         ,  ,02,0001228210,0,CITIZENS & NORTHERN BK                                                ,WELLSBORO                ,PA                    ,0001143623,CITIZENS & NORTHERN CORP      ,WELLSBORO                ,PA,UNITED STATES                           ,0000895710,0000000000,42
2015,0000007848,3,          ,                              ,                         ,  ,02,0000845675,0,COMMUNITY BK                                                          ,CARMICHAELS              ,PA                    ,0003333718,CB FNCL SERV INC              ,CARMICHAELS              ,PA,UNITED STATES                           ,0000371924,0000000000,42
2015,0000007909,3,          ,                              ,                         ,  ,02,0000266885,0,MARION CENTER BK                                                      ,INDIANA                  ,PA                    ,0001138928,COMMUNITY BKR CORP            ,INDIANA                  ,PA,UNITED STATES                           ,0000947525,0000000000,42
2015,0000008021,3,          ,                              ,                         ,  ,05,0000592566,0,WAUCHULA ST BK                                                        ,WAUCHULA                 ,FL                    ,0001081239,CREWS BKG CORP                ,WAUCHULA                 ,FL,UNITED STATES                           ,0000200435,0000000000,12
2015,0000008035,3,          ,                              ,                         ,  ,09,0000145881,0,BATH ST BK                                                            ,BATH                     ,IN                    ,0001249329,BATH ST BC                    ,BATH                     ,IN,UNITED STATES                           ,0000308340,0000000000,18
2015,0000008056,3,          ,                              ,                         ,  ,09,0001788988,0,MERCHANTS BK IN                                                       ,LYNN                     ,IN                    ,0003530786,MERCHANTS BC                  ,CARMEL                   ,IN,UNITED STATES                           ,0000963945,0000000000,18
2015,0000008058,3,          ,                              ,                         ,  ,09,0000069663,0,COMMUNITY ST BK OF SW INDIANA                                         ,POSEYVILLE               ,IN                    ,0001134153,CYNTHIANA BANCORPORATION      ,CYNTHIANA                ,IN,UNITED STATES                           ,0000198046,0000000000,18
2015,0000008063,3,          ,                              ,                         ,  ,09,0000214424,0,NORTH SALEM ST BK                                                     ,NORTH SALEM              ,IN                    ,0001136830,NORTH SALEM ST BC             ,NORTH SALEM              ,IN,UNITED STATES                           ,0000947749,0000000000,18
